Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,60,59,1,93,1,30,0,1,0.983333,0.9841270000000001,0.322581,0.9837299999999999,,,1.9473684210526316,2.2857142857142856
INDEL,PASS,60,59,1,88,1,25,0,1,0.983333,0.9841270000000001,0.284091,0.9837299999999999,,,1.9473684210526316,2.107142857142857
SNP,ALL,325,325,0,375,0,50,0,0,1.0,1.0,0.13333299999999998,1.0,1.981651376146789,1.9296875,2.217821782178218,2.4722222222222223
SNP,PASS,325,325,0,364,0,39,0,0,1.0,1.0,0.107143,1.0,1.981651376146789,2.0082644628099175,2.217821782178218,2.3703703703703702
